,Unnamed: 0_level_0,press,press,press,press,press,press,temperature,temperature,temperature,temperature,temperature,Dew Point,RH,RH,RH,WS/WD,WS/WD,WS/WD,WS/WD,WS/WD,Precp,Precp,Precp,Precp,Precp,Precp,SunShine,SunShine,SunShine,visibility,Evaperation,UVI,UVI,Cloud
,觀測時間 (day),測站氣壓 (hPa),海平面氣壓 (hPa),測站最高氣壓 (hPa),測站最高氣壓時間 (LST),測站最低氣壓 (hPa),測站最低氣壓時間 (LST),氣溫 (℃),最高氣溫 (℃),最高氣溫時間 (LST),最低氣溫 (℃),最低氣溫時間 (LST),露點溫度 (℃),相對溼度 (%),最小相對溼度 (%),最小相對溼度時間 (LST),風速 (m/s),風向 (360degree),最大瞬間風 (m/s),最大瞬間風風向 (360degree),最大瞬間風風速時間 (LST),降水量 (mm),降水時數 (hour),最大十分鐘降水量 (mm),最大十分鐘降水量起始時間 (LST),最大六十分鐘降水量 (mm),最大六十分鐘降水量起始時間 (LST),日照時數 (hour),日照率 (%),全天空日射量 (MJ/㎡),能見度 (km),A型蒸發量 (mm),日最高紫外線指數,日最高紫外線指數時間 (LST),總雲量 (0~10)
,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
0,1,1011.9,1014.3,1013.3,2022-11-01 09:07,1010.0,2022-11-01 03:51,20.5,22.6,2022-11-01 11:03,19.0,2022-11-01 00:10,19.5,94,76,2022-11-01 11:03,1.5,40,9.0,20,2022-11-01 14:43,21.0,9.4,2.0,2022-11-01 06:13,5.0,2022-11-01 05:20,0.0,0.0,3.64,...,...,3,2022-11-01 11:00,...
1,2,1011.6,1013.9,1012.4,2022-11-02 08:30,1010.3,2022-11-02 13:47,22.1,23.7,2022-11-02 10:01,19.6,2022-11-02 01:33,19.9,88,77,2022-11-02 08:53,1.5,30,7.5,30,2022-11-02 02:48,T,1.4,T,2022-11-02 00:01,T,2022-11-02 00:01,0.3,2.7,4.76,...,...,2,2022-11-02 12:00,...
2,3,1012.0,1014.3,1013.9,2022-11-03 21:33,1010.4,2022-11-03 13:34,23.5,27.8,2022-11-03 14:18,20.5,2022-11-03 04:55,21.5,89,72,2022-11-03 14:19,1.0,20,5.7,150,2022-11-03 01:01,0.0,0.0,0.0,...,0.0,...,3.6,32.6,12.89,...,...,6,2022-11-03 12:00,...
3,4,1016.6,1019.0,1019.3,2022-11-04 21:53,1013.5,2022-11-04 00:20,21.0,23.3,2022-11-04 00:02,19.6,2022-11-04 23:27,18.8,87,75,2022-11-04 13:54,3.2,20,10.1,10,2022-11-04 12:21,T,0.7,T,2022-11-04 03:23,T,2022-11-04 03:23,0.0,0.0,5.24,...,...,3,2022-11-04 13:00,...
4,5,1019.0,1021.4,1020.5,2022-11-05 09:06,1017.1,2022-11-05 13:53,20.1,22.9,2022-11-05 11:01,19.0,2022-11-05 03:19,16.5,80,70,2022-11-05 10:53,2.7,30,10.4,20,2022-11-05 10:21,T,0.2,T,2022-11-05 16:30,T,2022-11-05 16:30,0.7,6.4,9.4,...,...,6,2022-11-05 11:00,...
5,6,1017.1,1019.4,1019.2,2022-11-06 00:05,1015.1,2022-11-06 14:36,21.5,26.1,2022-11-06 13:17,18.6,2022-11-06 01:36,17.9,80,65,2022-11-06 12:48,1.2,310,6.1,10,2022-11-06 12:09,0.0,0.0,0.0,...,0.0,...,4.2,38.3,13.8,...,...,6,2022-11-06 13:00,...
6,7,1015.1,1017.4,1016.7,2022-11-07 09:15,1013.3,2022-11-07 15:26,23.3,26.2,2022-11-07 12:48,20.6,2022-11-07 05:57,20.0,82,71,2022-11-07 21:59,1.2,270,10.0,170,2022-11-07 16:19,T,0.1,T,2022-11-07 01:50,T,2022-11-07 01:50,1.4,12.8,9.48,...,...,4,2022-11-07 13:00,...
7,8,1015.8,1018.1,1017.3,2022-11-08 09:06,1014.8,2022-11-08 00:04,23.2,24.8,2022-11-08 23:05,21.7,2022-11-08 05:07,20.5,85,75,2022-11-08 23:05,1.4,30,7.6,20,2022-11-08 10:46,T,0.9,T,2022-11-08 04:06,T,2022-11-08 04:06,0.0,0.0,2.35,...,...,1,2022-11-08 13:00,...
8,9,1013.4,1015.7,1015.4,2022-11-09 00:01,1011.1,2022-11-09 14:01,26.6,29.4,2022-11-09 11:58,22.7,2022-11-09 00:47,20.2,68,58,2022-11-09 10:37,2.9,130,13.6,140,2022-11-09 10:58,0.0,0.0,0.0,...,0.0,...,10.1,92.5,18.27,...,...,7,2022-11-09 12:00,...
9,10,1013.6,1015.9,1015.5,2022-11-10 08:37,1011.7,2022-11-10 14:55,26.0,30.2,2022-11-10 13:11,22.5,2022-11-10 06:32,21.3,76,60,2022-11-10 12:31,1.6,140,10.5,180,2022-11-10 18:40,0.0,0.0,0.0,...,0.0,...,9.5,87.1,17.43,...,...,7,2022-11-10 12:00,...
10,11,1013.0,1015.3,1014.8,2022-11-11 08:57,1011.8,2022-11-11 14:14,24.6,28.2,2022-11-11 11:33,22.6,2022-11-11 23:33,23.0,91,75,2022-11-11 00:01,0.7,300,6.5,150,2022-11-11 00:16,0.0,0.0,0.0,...,0.0,...,1.1,10.1,9.03,...,...,5,2022-11-11 12:00,...
11,12,1012.4,1014.7,1014.0,2022-11-12 08:45,1011.2,2022-11-12 15:26,23.7,27.0,2022-11-12 11:04,21.5,2022-11-12 03:31,22.9,96,83,2022-11-12 13:52,0.8,300,4.5,280,2022-11-12 12:20,0.0,0.0,0.0,...,0.0,...,6.7,61.6,15.9,...,...,7,2022-11-12 11:00,...
12,13,1014.5,1016.9,1016.4,2022-11-13 09:52,1012.6,2022-11-13 02:11,23.7,27.5,2022-11-13 14:02,20.6,2022-11-13 03:10,21.4,88,70,2022-11-13 14:49,1.4,30,8.5,10,2022-11-13 12:56,T,0.1,T,2022-11-13 09:07,T,2022-11-13 09:07,5.2,47.9,12.77,...,...,6,2022-11-13 13:00,...
13,14,1014.6,1017.0,1017.1,2022-11-14 08:56,1012.2,2022-11-14 15:17,23.8,27.9,2022-11-14 11:56,20.6,2022-11-14 03:53,19.0,75,59,2022-11-14 12:53,1.4,360,8.5,160,2022-11-14 15:05,0.0,0.0,0.0,...,0.0,...,9.3,85.8,16.72,...,...,7,2022-11-14 13:00,...
14,15,1013.3,1015.7,1014.9,2022-11-15 09:06,1011.7,2022-11-15 12:57,24.3,29.4,2022-11-15 12:57,21.1,2022-11-15 04:59,20.2,78,59,2022-11-15 11:41,2.1,20,7.9,50,2022-11-15 20:42,0.0,0.0,0.0,...,0.0,...,6.0,55.4,14.06,...,...,7,2022-11-15 12:00,...
15,16,1013.3,1015.6,1015.3,2022-11-16 09:26,1011.8,2022-11-16 23:27,22.6,24.5,2022-11-16 13:16,21.2,2022-11-16 02:34,21.4,93,86,2022-11-16 10:21,1.4,20,8.0,20,2022-11-16 00:23,0.5,2.4,0.5,2022-11-16 20:50,0.5,2022-11-16 20:50,0.0,0.0,4.5,...,...,3,2022-11-16 14:00,...
16,17,1012.9,1015.2,1014.4,2022-11-17 21:33,1011.3,2022-11-17 02:04,22.9,25.5,2022-11-17 13:02,21.0,2022-11-17 21:48,21.6,93,81,2022-11-17 15:48,1.0,300,5.4,220,2022-11-17 04:39,0.0,0.0,0.0,...,0.0,...,3.6,33.4,10.12,...,...,5,2022-11-17 13:00,...
17,18,1014.1,1016.5,1015.9,2022-11-18 09:32,1012.3,2022-11-18 14:41,23.5,26.6,2022-11-18 13:17,20.8,2022-11-18 00:21,21.6,90,74,2022-11-18 15:02,1.5,20,9.9,330,2022-11-18 13:51,0.0,0.0,0.0,...,0.0,...,4.4,40.8,13.35,...,...,6,2022-11-18 11:00,...
18,19,1013.0,1015.3,1014.6,2022-11-19 09:02,1011.3,2022-11-19 13:54,23.7,29.2,2022-11-19 13:18,20.9,2022-11-19 05:57,21.3,87,65,2022-11-19 13:19,1.5,20,7.5,40,2022-11-19 15:54,0.0,0.0,0.0,...,0.0,...,8.2,76.2,15.21,...,...,7,2022-11-19 13:00,...
19,20,1012.4,1014.7,1014.4,2022-11-20 08:53,1011.1,2022-11-20 14:07,23.9,27.6,2022-11-20 13:22,21.5,2022-11-20 00:36,20.9,84,70,2022-11-20 13:16,1.3,20,7.9,360,2022-11-20 11:04,0.0,0.0,0.0,...,0.0,...,3.1,28.8,9.95,...,...,6,2022-11-20 12:00,...
20,21,1012.7,1015.0,1014.7,2022-11-21 08:39,1010.5,2022-11-21 13:49,25.1,27.9,2022-11-21 11:13,23.2,2022-11-21 05:06,20.5,76,63,2022-11-21 13:35,1.7,140,8.8,150,2022-11-21 20:53,0.0,0.0,0.0,...,0.0,...,7.2,67.1,16.04,...,...,7,2022-11-21 13:00,...
21,22,1011.7,1014.0,1012.9,2022-11-22 00:18,1011.0,2022-11-22 14:44,24.8,28.1,2022-11-22 13:26,22.8,2022-11-22 22:23,22.3,86,73,2022-11-22 09:28,1.2,310,6.4,140,2022-11-22 08:40,T,0.1,T,2022-11-22 19:01,T,2022-11-22 19:01,1.2,11.2,10.45,...,...,4,2022-11-22 13:00,...
22,23,1014.2,1016.6,1016.4,2022-11-23 09:32,1011.4,2022-11-23 01:54,21.1,23.4,2022-11-23 00:44,19.8,2022-11-23 17:18,20.2,95,83,2022-11-23 15:20,1.8,20,9.3,360,2022-11-23 08:53,15.0,7.0,1.5,2022-11-23 04:59,4.5,2022-11-23 07:08,0.0,0.0,4.24,...,...,3,2022-11-23 12:00,...
23,24,1014.7,1017.1,1016.5,2022-11-24 23:47,1013.4,2022-11-24 02:33,20.5,21.1,2022-11-24 09:53,19.9,2022-11-24 00:01,20.4,100,99,2022-11-24 00:01,0.5,150,5.0,120,2022-11-24 22:16,69.5,10.6,3.0,2022-11-24 05:18,11.5,2022-11-24 20:44,0.0,0.0,2.56,...,...,2,2022-11-24 12:00,...
24,25,1013.2,1015.6,1016.3,2022-11-25 00:01,1010.4,2022-11-25 13:50,21.3,24.5,2022-11-25 11:31,19.7,2022-11-25 23:50,21.0,98,90,2022-11-25 11:24,1.5,140,7.7,160,2022-11-25 23:46,32.5,5.5,4.0,2022-11-25 21:29,9.5,2022-11-25 00:07,0.0,0.0,4.65,...,...,4,2022-11-25 12:00,...
25,26,1013.5,1015.9,1015.2,2022-11-26 09:12,1011.4,2022-11-26 00:54,20.8,23.8,2022-11-26 14:09,18.9,2022-11-26 22:04,19.5,92,75,2022-11-26 14:44,1.8,20,7.9,30,2022-11-26 14:33,1.0,1.1,0.5,2022-11-26 03:50,0.5,2022-11-26 03:50,1.8,16.9,8.64,...,...,5,2022-11-26 13:00,...
26,27,1011.5,1013.8,1013.3,2022-11-27 03:04,1008.5,2022-11-27 14:23,23.4,27.8,2022-11-27 14:47,20.0,2022-11-27 00:09,20.4,84,67,2022-11-27 12:12,1.6,150,13.5,160,2022-11-27 06:56,T,0.1,T,2022-11-27 11:24,T,2022-11-27 11:24,3.1,29.1,8.97,...,...,4,2022-11-27 13:00,...
27,28,1011.5,1013.9,1012.7,2022-11-28 20:41,1009.8,2022-11-28 15:03,23.9,28.6,2022-11-28 11:23,21.1,2022-11-28 06:11,21.8,89,68,2022-11-28 11:24,1.1,300,5.6,310,2022-11-28 12:37,0.0,0.0,0.0,...,0.0,...,9.2,86.4,15.02,...,...,6,2022-11-28 12:00,...
28,29,1012.0,1014.3,1014.5,2022-11-29 23:59,1009.6,2022-11-29 14:55,24.6,27.2,2022-11-29 14:13,22.9,2022-11-29 23:59,23.0,91,77,2022-11-29 10:03,1.6,20,7.4,40,2022-11-29 23:32,T,0.2,T,2022-11-29 21:27,T,2022-11-29 21:27,4.7,44.2,10.78,...,...,5,2022-11-29 12:00,...
29,30,1019.6,1022.0,1022.2,2022-11-30 09:50,1014.4,2022-11-30 00:01,18.4,23.0,2022-11-30 00:06,16.9,2022-11-30 20:09,16.7,90,81,2022-11-30 14:26,3.9,20,12.8,50,2022-11-30 02:49,1.5,3.7,0.5,2022-11-30 05:50,0.5,2022-11-30 05:50,0.5,4.7,6.6,...,...,4,2022-11-30 14:00,...
