name,description
mn_Report_201401.xml,2014年局屬地面測站01月氣象資料
mn_Report_201402.xml,2014年局屬地面測站02月氣象資料
mn_Report_201403.xml,2014年局屬地面測站03月氣象資料
mn_Report_201404.xml,2014年局屬地面測站04月氣象資料
mn_Report_201405.xml,2014年局屬地面測站05月氣象資料
mn_Report_201406.xml,2014年局屬地面測站06月氣象資料
mn_Report_201407.xml,2014年局屬地面測站07月氣象資料
mn_Report_201408.xml,2014年局屬地面測站08月氣象資料
mn_Report_201409.xml,2014年局屬地面測站09月氣象資料
mn_Report_201410.xml,2014年局屬地面測站10月氣象資料
mn_Report_201411.xml,2014年局屬地面測站11月氣象資料
mn_Report_201412.xml,2014年局屬地面測站12月氣象資料
mn_Report_201501.xml,2015年局屬地面測站01月氣象資料
mn_Report_201502.xml,2015年局屬地面測站02月氣象資料
mn_Report_201503.xml,2015年局屬地面測站03月氣象資料
mn_Report_201504.xml,2015年局屬地面測站04月氣象資料
mn_Report_201505.xml,2015年局屬地面測站05月氣象資料
mn_Report_201506.xml,2015年局屬地面測站06月氣象資料
mn_Report_201507.xml,2015年局屬地面測站07月氣象資料
mn_Report_201508.xml,2015年局屬地面測站08月氣象資料
mn_Report_201509.xml,2015年局屬地面測站09月氣象資料
mn_Report_201510.xml,2015年局屬地面測站10月氣象資料
mn_Report_201511.xml,2015年局屬地面測站11月氣象資料
mn_Report_201512.xml,2015年局屬地面測站12月氣象資料
mn_Report_201601.xml,2016年局屬地面測站01月氣象資料
mn_Report_201602.xml,2016年局屬地面測站02月氣象資料
mn_Report_201603.xml,2016年局屬地面測站03月氣象資料
mn_Report_201604.xml,2016年局屬地面測站04月氣象資料
mn_Report_201605.xml,2016年局屬地面測站05月氣象資料
mn_Report_201606.xml,2016年局屬地面測站06月氣象資料
mn_Report_201607.xml,2016年局屬地面測站07月氣象資料
mn_Report_201608.xml,2016年局屬地面測站08月氣象資料
mn_Report_201609.xml,2016年局屬地面測站09月氣象資料
mn_Report_201610.xml,2016年局屬地面測站10月氣象資料
mn_Report_201611.xml,2016年局屬地面測站11月氣象資料
mn_Report_201612.xml,2016年局屬地面測站12月氣象資料
mn_Report_201701.xml,2017年局屬地面測站01月氣象資料
mn_Report_201702.xml,2017年局屬地面測站02月氣象資料
mn_Report_201703.xml,2017年局屬地面測站03月氣象資料
mn_Report_201704.xml,2017年局屬地面測站04月氣象資料
mn_Report_201705.xml,2017年局屬地面測站05月氣象資料
mn_Report_201706.xml,2017年局屬地面測站06月氣象資料
mn_Report_201707.xml,2017年局屬地面測站07月氣象資料
mn_Report_201708.xml,2017年局屬地面測站08月氣象資料
mn_Report_201709.xml,2017年局屬地面測站09月氣象資料
mn_Report_201710.xml,2017年局屬地面測站10月氣象資料
mn_Report_201711.xml,2017年局屬地面測站11月氣象資料
mn_Report_201712.xml,2017年局屬地面測站12月氣象資料
mn_Report_201801.xml,2018年局屬地面測站01月氣象資料
mn_Report_201802.xml,2018年局屬地面測站02月氣象資料
mn_Report_201803.xml,2018年局屬地面測站03月氣象資料
mn_Report_201804.xml,2018年局屬地面測站04月氣象資料
mn_Report_201805.xml,2018年局屬地面測站05月氣象資料
mn_Report_201806.xml,2018年局屬地面測站06月氣象資料
mn_Report_201807.xml,2018年局屬地面測站07月氣象資料
mn_Report_201808.xml,2018年局屬地面測站08月氣象資料
mn_Report_201809.xml,2018年局屬地面測站09月氣象資料
mn_Report_201810.xml,2018年局屬地面測站10月氣象資料
mn_Report_201811.xml,2018年局屬地面測站11月氣象資料
mn_Report_201812.xml,2018年局屬地面測站12月氣象資料
mn_Report_201901.xml,2019年局屬地面測站01月氣象資料
mn_Report_201902.xml,2019年局屬地面測站02月氣象資料
mn_Report_201903.xml,2019年局屬地面測站03月氣象資料
mn_Report_201904.xml,2019年局屬地面測站04月氣象資料
mn_Report_201905.xml,2019年局屬地面測站05月氣象資料
mn_Report_201906.xml,2019年局屬地面測站06月氣象資料
mn_Report_201907.xml,2019年局屬地面測站07月氣象資料
mn_Report_201908.xml,2019年局屬地面測站08月氣象資料
mn_Report_201909.xml,2019年局屬地面測站09月氣象資料
mn_Report_201910.xml,2019年局屬地面測站10月氣象資料
mn_Report_201911.xml,2019年局屬地面測站11月氣象資料
mn_Report_201912.xml,2019年局屬地面測站12月氣象資料
mn_Report_202001.xml,2020年局屬地面測站01月氣象資料
mn_Report_202002.xml,2020年局屬地面測站02月氣象資料
mn_Report_202003.xml,2020年局屬地面測站03月氣象資料
mn_Report_202004.xml,2020年局屬地面測站04月氣象資料
mn_Report_202005.xml,2020年局屬地面測站05月氣象資料
mn_Report_202006.xml,2020年局屬地面測站06月氣象資料
mn_Report_202007.xml,2020年局屬地面測站07月氣象資料
mn_Report_202008.xml,2020年局屬地面測站08月氣象資料
mn_Report_202009.xml,2020年局屬地面測站09月氣象資料
mn_Report_202010.xml,2020年局屬地面測站10月氣象資料
mn_Report_202011.xml,2020年局屬地面測站11月氣象資料
mn_Report_202012.xml,2020年局屬地面測站12月氣象資料
mn_Report_202101.xml,2021年局屬地面測站01月氣象資料
mn_Report_202102.xml,2021年局屬地面測站02月氣象資料
mn_Report_202103.xml,2021年局屬地面測站03月氣象資料
mn_Report_202104.xml,2021年局屬地面測站04月氣象資料
mn_Report_202105.xml,2021年局屬地面測站05月氣象資料
mn_Report_202106.xml,2021年局屬地面測站06月氣象資料
mn_Report_202107.xml,2021年局屬地面測站07月氣象資料
mn_Report_202108.xml,2021年局屬地面測站08月氣象資料
mn_Report_202109.xml,2021年局屬地面測站09月氣象資料
mn_Report_202110.xml,2021年局屬地面測站10月氣象資料
mn_Report_202111.xml,2021年局屬地面測站11月氣象資料
mn_Report_202112.xml,2021年局屬地面測站12月氣象資料
mn_Report_202201.xml,2022年局屬地面測站01月氣象資料
mn_Report_202202.xml,2022年局屬地面測站02月氣象資料
mn_Report_202203.xml,2022年局屬地面測站03月氣象資料
mn_Report_202204.xml,2022年局屬地面測站04月氣象資料
mn_Report_202205.xml,2022年局屬地面測站05月氣象資料
mn_Report_202206.xml,2022年局屬地面測站06月氣象資料
mn_Report_202207.xml,2022年局屬地面測站07月氣象資料
mn_Report_202208.xml,2022年局屬地面測站08月氣象資料
mn_Report_202209.xml,2022年局屬地面測站09月氣象資料
mn_Report_202210.xml,2022年局屬地面測站10月氣象資料
mn_Report_202211.xml,2022年局屬地面測站11月氣象資料
mn_Report_202212.xml,2022年局屬地面測站12月氣象資料
